count,date
1,1991-02-01
0,1991-03-01
0,1991-04-01
0,1991-05-01
0,1991-06-01
0,1991-07-01
1,1991-08-01
0,1991-09-01
0,1991-10-01
0,1991-11-01
0,1991-12-01
0,1992-01-01
0,1992-02-01
0,1992-03-01
0,1992-04-01
1,1992-05-01
0,1992-06-01
1,1992-07-01
0,1992-08-01
1,1992-09-01
1,1992-10-01
0,1992-11-01
0,1992-12-01
2,1993-01-01
0,1993-02-01
0,1993-03-01
0,1993-04-01
0,1993-05-01
0,1993-06-01
0,1993-07-01
0,1993-08-01
0,1993-09-01
0,1993-10-01
0,1993-11-01
1,1993-12-01
4,1994-01-01
0,1994-02-01
0,1994-03-01
0,1994-04-01
0,1994-05-01
2,1994-06-01
1,1994-07-01
1,1994-08-01
0,1994-09-01
0,1994-10-01
0,1994-11-01
0,1994-12-01
3,1995-01-01
1,1995-02-01
1,1995-03-01
1,1995-04-01
0,1995-05-01
2,1995-06-01
0,1995-07-01
0,1995-08-01
2,1995-09-01
1,1995-10-01
0,1995-11-01
1,1995-12-01
4,1996-01-01
1,1996-02-01
1,1996-03-01
1,1996-04-01
0,1996-05-01
2,1996-06-01
1,1996-07-01
0,1996-08-01
1,1996-09-01
0,1996-10-01
3,1996-11-01
2,1996-12-01
3,1997-01-01
10,1997-02-01
3,1997-03-01
0,1997-04-01
1,1997-05-01
5,1997-06-01
2,1997-07-01
5,1997-08-01
2,1997-09-01
3,1997-10-01
1,1997-11-01
2,1997-12-01
10,1998-01-01
2,1998-02-01
5,1998-03-01
2,1998-04-01
0,1998-05-01
1,1998-06-01
3,1998-07-01
4,1998-08-01
10,1998-09-01
3,1998-10-01
2,1998-11-01
6,1998-12-01
7,1999-01-01
3,1999-02-01
4,1999-03-01
3,1999-04-01
2,1999-05-01
5,1999-06-01
3,1999-07-01
4,1999-08-01
1,1999-09-01
2,1999-10-01
2,1999-11-01
5,1999-12-01
19,2000-01-01
12,2000-02-01
5,2000-03-01
1,2000-04-01
1,2000-05-01
7,2000-06-01
4,2000-07-01
3,2000-08-01
7,2000-09-01
3,2000-10-01
2,2000-11-01
2,2000-12-01
16,2001-01-01
2,2001-02-01
2,2001-03-01
3,2001-04-01
3,2001-05-01
3,2001-06-01
9,2001-07-01
7,2001-08-01
9,2001-09-01
3,2001-10-01
2,2001-11-01
1,2001-12-01
26,2002-01-01
8,2002-02-01
3,2002-03-01
12,2002-04-01
4,2002-05-01
3,2002-06-01
10,2002-07-01
4,2002-08-01
5,2002-09-01
2,2002-10-01
6,2002-11-01
11,2002-12-01
23,2003-01-01
27,2003-02-01
9,2003-03-01
6,2003-04-01
6,2003-05-01
4,2003-06-01
6,2003-07-01
7,2003-08-01
9,2003-09-01
8,2003-10-01
7,2003-11-01
5,2003-12-01
21,2004-01-01
8,2004-02-01
16,2004-03-01
5,2004-04-01
7,2004-05-01
23,2004-06-01
12,2004-07-01
6,2004-08-01
16,2004-09-01
16,2004-10-01
10,2004-11-01
6,2004-12-01
28,2005-01-01
6,2005-02-01
11,2005-03-01
7,2005-04-01
10,2005-05-01
10,2005-06-01
7,2005-07-01
32,2005-08-01
17,2005-09-01
8,2005-10-01
3,2005-11-01
17,2005-12-01
45,2006-01-01
16,2006-02-01
14,2006-03-01
10,2006-04-01
6,2006-05-01
27,2006-06-01
17,2006-07-01
8,2006-08-01
10,2006-09-01
15,2006-10-01
12,2006-11-01
18,2006-12-01
28,2007-01-01
11,2007-02-01
15,2007-03-01
9,2007-04-01
11,2007-05-01
20,2007-06-01
13,2007-07-01
22,2007-08-01
13,2007-09-01
21,2007-10-01
15,2007-11-01
17,2007-12-01
26,2008-01-01
13,2008-02-01
14,2008-03-01
16,2008-04-01
8,2008-05-01
18,2008-06-01
22,2008-07-01
11,2008-08-01
18,2008-09-01
17,2008-10-01
15,2008-11-01
23,2008-12-01
33,2009-01-01
18,2009-02-01
22,2009-03-01
12,2009-04-01
17,2009-05-01
21,2009-06-01
15,2009-07-01
21,2009-08-01
14,2009-09-01
25,2009-10-01
18,2009-11-01
30,2009-12-01
44,2010-01-01
13,2010-02-01
23,2010-03-01
31,2010-04-01
26,2010-05-01
21,2010-06-01
37,2010-07-01
30,2010-08-01
28,2010-09-01
25,2010-10-01
25,2010-11-01
36,2010-12-01
34,2011-01-01
24,2011-02-01
38,2011-03-01
28,2011-04-01
31,2011-05-01
23,2011-06-01
26,2011-07-01
22,2011-08-01
31,2011-09-01
36,2011-10-01
22,2011-11-01
26,2011-12-01
47,2012-01-01
21,2012-02-01
47,2012-03-01
24,2012-04-01
49,2012-05-01
32,2012-06-01
59,2012-07-01
20,2012-08-01
86,2012-09-01
31,2012-10-01
16,2012-11-01
41,2012-12-01
45,2013-01-01
22,2013-02-01
39,2013-03-01
31,2013-04-01
19,2013-05-01
33,2013-06-01
23,2013-07-01
40,2013-08-01
44,2013-09-01
33,2013-10-01
24,2013-11-01
44,2013-12-01
47,2014-01-01
35,2014-02-01
44,2014-03-01
32,2014-04-01
31,2014-05-01
45,2014-06-01
85,2014-07-01
72,2014-08-01
58,2014-09-01
47,2014-10-01
45,2014-11-01
36,2014-12-01
48,2015-01-01
29,2015-02-01
41,2015-03-01
44,2015-04-01
36,2015-05-01
40,2015-06-01
35,2015-07-01
41,2015-08-01
72,2015-09-01
32,2015-10-01
35,2015-11-01
53,2015-12-01
45,2016-01-01
30,2016-02-01
67,2016-03-01
42,2016-04-01
67,2016-05-01
26,2016-06-01
106,2016-07-01
85,2016-08-01
26,2016-09-01
63,2016-10-01
32,2016-11-01
44,2016-12-01
49,2017-01-01
42,2017-02-01
46,2017-03-01
47,2017-04-01
41,2017-05-01
47,2017-06-01
42,2017-07-01
29,2017-08-01
67,2017-09-01
43,2017-10-01
67,2017-11-01
35,2017-12-01
64,2018-01-01
48,2018-02-01
